"No.","Time","Source","Destination","Protocol","Length","Info"
"1055","9.925306","192.168.43.100","149.137.44.121","TLSv1.2","99","Application Data"
"1056","9.936133","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1057","9.947836","149.137.44.121","192.168.43.100","UDP","130","8801  >  63805 Len=88"
"1058","9.961828","149.137.44.121","192.168.43.100","TCP","54","443  >  61943 [ACK] Seq=1050 Ack=1250 Win=38477 Len=0"
"1059","9.979573","149.137.44.121","192.168.43.100","TLSv1.2","120","Application Data"
"1060","9.979573","149.137.44.121","192.168.43.100","UDP","130","8801  >  63805 Len=88"
"1061","9.990152","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1062","9.990510","192.168.43.100","149.137.44.121","TLSv1.2","104","Application Data"
"1063","10.027943","149.137.44.121","192.168.43.100","UDP","132","8801  >  63805 Len=90"
"1064","10.048107","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1065","10.070126","149.137.44.121","192.168.43.100","UDP","130","8801  >  63805 Len=88"
"1066","10.086915","149.137.44.121","192.168.43.100","UDP","130","8801  >  63805 Len=88"
"1067","10.087298","149.137.44.121","192.168.43.100","UDP","104","8801  >  63804 Len=62"
"1068","10.087298","149.137.44.121","192.168.43.100","TLSv1.2","234","Application Data, Application Data, Application Data"
"1069","10.087891","192.168.43.100","149.137.44.121","TLSv1.2","128","Application Data"
"1070","10.092790","149.137.44.121","192.168.43.100","UDP","132","8801  >  63805 Len=90"
"1071","10.093109","149.137.44.121","192.168.43.100","UDP","104","8801  >  63804 Len=62"
"1072","10.093109","149.137.44.121","192.168.43.100","UDP","130","8801  >  63805 Len=88"
"1073","10.093159","192.168.43.100","149.137.44.121","TLSv1.2","104","Application Data"
"1074","10.096496","149.137.44.121","192.168.43.100","UDP","104","8801  >  63804 Len=62"
"1075","10.106680","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1076","10.122171","149.137.44.121","192.168.43.100","TCP","54","443  >  61943 [ACK] Seq=1296 Ack=1424 Win=38520 Len=0"
"1077","10.125071","149.137.44.121","192.168.43.100","UDP","104","8801  >  63804 Len=62"
"1078","10.157830","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1079","10.183772","149.137.44.121","192.168.43.100","UDP","104","8801  >  63804 Len=62"
"1080","10.184017","149.137.44.121","192.168.43.100","UDP","130","8801  >  63805 Len=88"
"1081","10.193743","192.168.43.100","149.137.44.121","UDP","181","63804  >  8801 Len=139"
"1082","10.214889","149.137.44.121","192.168.43.100","UDP","104","8801  >  63804 Len=62"
"1083","10.245044","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1084","10.255865","149.137.44.121","192.168.43.100","UDP","104","8801  >  63804 Len=62"
"1085","10.274959","149.137.44.121","192.168.43.100","UDP","127","8801  >  50074 Len=85"
"1086","10.275251","149.137.44.121","192.168.43.100","UDP","130","8801  >  63805 Len=88"
"1087","10.295091","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1088","10.295134","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"1089","10.327046","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"1090","10.348016","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1091","10.351076","149.137.44.121","192.168.43.100","UDP","181","8801  >  63805 Len=139"
"1092","10.385277","149.137.44.121","192.168.43.100","UDP","174","8801  >  63805 Len=132"
"1093","10.385569","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"1094","10.405434","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1095","10.425703","192.168.43.100","149.137.44.121","TLSv1.2","697","Application Data"
"1096","10.456848","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1097","10.507377","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1098","10.531157","149.137.44.121","192.168.43.100","UDP","144","8801  >  63805 Len=102"
"1099","10.540814","192.168.43.100","149.137.44.121","UDP","115","63805  >  8801 Len=73"
"1100","10.561552","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1101","10.612580","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1102","10.663080","192.168.43.100","149.137.44.121","UDP","123","63804  >  8801 Len=81"
"1103","10.663369","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1104","10.702477","192.168.43.100","149.137.44.121","TCP","697","[TCP Retransmission] 61943  >  443 [PSH, ACK] Seq=1424 Ack=1296 Win=512 Len=643"
"1105","10.714713","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1106","10.749060","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"1107","10.749555","149.137.44.121","192.168.43.100","UDP","137","8801  >  63805 Len=95"
"1108","10.749555","149.137.44.121","192.168.43.100","UDP","140","8801  >  63805 Len=98"
"1109","10.749555","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"1110","10.749555","149.137.44.121","192.168.43.100","UDP","141","8801  >  63805 Len=99"
"1111","10.749555","149.137.44.121","192.168.43.100","UDP","140","8801  >  63805 Len=98"
"1112","10.749555","149.137.44.121","192.168.43.100","TCP","54","443  >  61943 [ACK] Seq=1296 Ack=2067 Win=38681 Len=0"
"1113","10.749555","149.137.44.121","192.168.43.100","UDP","179","8801  >  63805 Len=137"
"1114","10.749555","149.137.44.121","192.168.43.100","UDP","69","8801  >  63804 Len=27"
"1115","10.749555","149.137.44.121","192.168.43.100","UDP","190","8801  >  63805 Len=148"
"1116","10.749555","149.137.44.121","192.168.43.100","UDP","344","8801  >  63805 Len=302"
"1117","10.749555","149.137.44.121","192.168.43.100","TLSv1.2","104","Application Data"
"1118","10.749555","149.137.44.121","192.168.43.100","UDP","106","8801  >  63805 Len=64"
"1119","10.749555","149.137.44.121","192.168.43.100","UDP","69","8801  >  63804 Len=27"
"1120","10.749555","149.137.44.121","192.168.43.100","UDP","314","8801  >  63805 Len=272"
"1121","10.751830","149.137.44.121","192.168.43.100","UDP","297","8801  >  63805 Len=255"
"1122","10.752303","149.137.44.121","192.168.43.100","UDP","293","8801  >  63804 Len=251"
"1123","10.752303","149.137.44.121","192.168.43.100","UDP","373","8801  >  63805 Len=331"
"1124","10.752303","149.137.44.121","192.168.43.100","UDP","299","8801  >  63805 Len=257"
"1125","10.752303","149.137.44.121","192.168.43.100","UDP","69","8801  >  63804 Len=27"
"1126","10.752303","149.137.44.121","192.168.43.100","UDP","317","8801  >  63805 Len=275"
