No.;Time;;;time 2;time 1;delay;;;delay2;delay 1;jitter
189;1.624.290;1,62429;;1,624704;1,62429;0,000414;;;0,00032;0,000414;-9,4E-05
190;1.624.704;1,624704;;1,625024;1,624704;0,00032;;;0,032934;0,00032;0,032614
191;1.625.024;1,625024;;1,657958;1,625024;0,032934;;;0,01296;0,032934;-0,019974
192;1.657.958;1,657958;;1,670918;1,657958;0,01296;;;0,010073;0,01296;-0,002887
193;1.670.918;1,670918;;1,680991;1,670918;0,010073;;;7E-05;0,010073;-0,010003
194;1.680.991;1,680991;;1,681061;1,680991;7E-05;;;0,041823;7E-05;0,041753
195;1.681.061;1,681061;;1,722884;1,681061;0,041823;;;0,000304;0,041823;-0,041519
196;1.722.884;1,722884;;1,723188;1,722884;0,000304;;;0,01114;0,000304;0,010836
197;1.723.188;1,723188;;1,734328;1,723188;0,01114;;;0,028513;0,01114;0,017373
198;1.734.328;1,734328;;1,762841;1,734328;0,028513;;;0,004111;0,028513;-0,024402
199;1.762.841;1,762841;;1,766952;1,762841;0,004111;;;0,020019;0,004111;0,015908
200;1.766.952;1,766952;;1,786971;1,766952;0,020019;;;0,001085;0,020019;-0,018934
201;1.786.971;1,786971;;1,788056;1,786971;0,001085;;;0,019912;0,001085;0,018827
202;1.788.056;1,788056;;1,807968;1,788056;0,019912;;;0,000363;0,019912;-0,019549
203;1.807.968;1,807968;;1,808331;1,807968;0,000363;;;0,019829;0,000363;0,019466
204;1.808.331;1,808331;;1,82816;1,808331;0,019829;;;0,010665;0,019829;-0,009164
205;1.828.160;1,82816;;1,838825;1,82816;0,010665;;;0,003008;0,010665;-0,007657
206;1.838.825;1,838825;;1,841833;1,838825;0,003008;;;0,007986;0,003008;0,004978
207;1.841.833;1,841833;;1,849819;1,841833;0,007986;;;0,000296;0,007986;-0,00769
208;1.849.819;1,849819;;1,850115;1,849819;0,000296;;;0,020711;0,000296;0,020415
209;1.850.115;1,850115;;1,870826;1,850115;0,020711;;;0,020517;0,020711;-0,000194
210;1.870.826;1,870826;;1,891343;1,870826;0,020517;;;0,027603;0,020517;0,007086
211;1.891.343;1,891343;;1,918946;1,891343;0,027603;;;0,000393;0,027603;-0,02721
212;1.918.946;1,918946;;1,919339;1,918946;0,000393;;;0;0,000393;-0,000393
213;1.919.339;1,919339;;1,919339;1,919339;0;;;0;0;0
214;1.919.339;1,919339;;1,919339;1,919339;0;;;0,008689;0;0,008689
215;1.919.339;1,919339;;1,928028;1,919339;0,008689;;;0,010892;0,008689;0,002203
216;1.928.028;1,928028;;1,93892;1,928028;0,010892;;;0,009644;0,010892;-0,001248
217;1.938.920;1,93892;;1,948564;1,93892;0,009644;;;0,033734;0,009644;0,02409
218;1.948.564;1,948564;;1,982298;1,948564;0,033734;;;0,000644;0,033734;-0,03309
219;1.982.298;1,982298;;1,982942;1,982298;0,000644;;;0,010815;0,000644;0,010171
220;1.982.942;1,982942;;1,993757;1,982942;0,010815;;;0,001428;0,010815;-0,009387
221;1.993.757;1,993757;;1,995185;1,993757;0,001428;;;0,000232;0,001428;-0,001196
222;1.995.185;1,995185;;1,995417;1,995185;0,000232;;;0,009927;0,000232;0,009695
223;1.995.417;1,995417;;2,005344;1,995417;0,009927;;;0,01852;0,009927;0,008593
224;2.005.344;2,005344;;2,023864;2,005344;0,01852;;;0,012932;0,01852;-0,005588
225;2.023.864;2,023864;;2,036796;2,023864;0,012932;;;0,008173;0,012932;-0,004759
226;2.036.796;2,036796;;2,044969;2,036796;0,008173;;;0,000266;0,008173;-0,007907
227;2.044.969;2,044969;;2,045235;2,044969;0,000266;;;0;0,000266;-0,000266
228;2.045.235;2,045235;;2,045235;2,045235;0;;;6,2E-05;0;6,2E-05
229;2.045.235;2,045235;;2,045297;2,045235;6,2E-05;;;0,017457;6,2E-05;0,017395
230;2.045.297;2,045297;;2,062754;2,045297;0,017457;;;0,000168;0,017457;-0,017289
231;2.062.754;2,062754;;2,062922;2,062754;0,000168;;;0,019877;0,000168;0,019709
232;2.062.922;2,062922;;2,082799;2,062922;0,019877;;;0,016782;0,019877;-0,003095
233;2.082.799;2,082799;;2,099581;2,082799;0,016782;;;0,000225;0,016782;-0,016557
234;2.099.581;2,099581;;2,099806;2,099581;0,000225;;;0,011329;0,000225;0,011104
235;2.099.806;2,099806;;2,111135;2,099806;0,011329;;;0;0,011329;-0,011329
236;2.111.135;2,111135;;2,111135;2,111135;0;;;0,012716;0;0,012716
237;2.111.135;2,111135;;2,123851;2,111135;0,012716;;;0,009096;0,012716;-0,00362
238;2.123.851;2,123851;;2,132947;2,123851;0,009096;;;0,021394;0,009096;0,012298
239;2.132.947;2,132947;;2,154341;2,132947;0,021394;;;0,00072;0,021394;-0,020674
240;2.154.341;2,154341;;2,155061;2,154341;0,00072;;;0,003354;0,00072;0,002634
241;2.155.061;2,155061;;2,158415;2,155061;0,003354;;;0,033464;0,003354;0,03011
242;2.158.415;2,158415;;2,191879;2,158415;0,033464;;;0,014635;0,033464;-0,018829
243;2.191.879;2,191879;;2,206514;2,191879;0,014635;;;0,010639;0,014635;-0,003996
244;2.206.514;2,206514;;2,217153;2,206514;0,010639;;;0,045987;0,010639;0,035348
245;2.217.153;2,217153;;2,26314;2,217153;0,045987;;;0,000354;0,045987;-0,045633
246;2.263.140;2,26314;;2,263494;2,26314;0,000354;;;0,000349;0,000354;-5E-06
247;2.263.494;2,263494;;2,263843;2,263494;0,000349;;;0,002558;0,000349;0,002209
248;2.263.843;2,263843;;2,266401;2,263843;0,002558;;;0,016822;0,002558;0,014264
249;2.266.401;2,266401;;2,283223;2,266401;0,016822;;;0,004583;0,016822;-0,012239
250;2.283.223;2,283223;;2,287806;2,283223;0,004583;;;0,011697;0,004583;0,007114
251;2.287.806;2,287806;;2,299503;2,287806;0,011697;;;0,000398;0,011697;-0,011299
252;2.299.503;2,299503;;2,299901;2,299503;0,000398;;;0,007962;0,000398;0,007564
253;2.299.901;2,299901;;2,307863;2,299901;0,007962;;;0,016723;0,007962;0,008761
254;2.307.863;2,307863;;2,324586;2,307863;0,016723;;;0,011084;0,016723;-0,005639
255;2.324.586;2,324586;;2,33567;2,324586;0,011084;;;0,012429;0,011084;0,001345
256;2.335.670;2,33567;;2,348099;2,33567;0,012429;;;0,000383;0,012429;-0,012046
257;2.348.099;2,348099;;2,348482;2,348099;0,000383;;;0,010815;0,000383;0,010432
258;2.348.482;2,348482;;2,359297;2,348482;0,010815;;;0,028027;0,010815;0,017212
259;2.359.297;2,359297;;2,387324;2,359297;0,028027;;;0,000561;0,028027;-0,027466
260;2.387.324;2,387324;;2,387885;2,387324;0,000561;;;0,000431;0,000561;-0,00013
261;2.387.885;2,387885;;2,388316;2,387885;0,000431;;;0,0156;0,000431;0,015169
262;2.388.316;2,388316;;2,403916;2,388316;0,0156;;;0,010231;0,0156;-0,005369
263;2.403.916;2,403916;;2,414147;2,403916;0,010231;;;0,000535;0,010231;-0,009696
264;2.414.147;2,414147;;2,414682;2,414147;0,000535;;;0,005373;0,000535;0,004838
265;2.414.682;2,414682;;2,420055;2,414682;0,005373;;;0,000465;0,005373;-0,004908
266;2.420.055;2,420055;;2,42052;2,420055;0,000465;;;0,023992;0,000465;0,023527
267;2.420.520;2,42052;;2,444512;2,42052;0,023992;;;0,003263;0,023992;-0,020729
268;2.444.512;2,444512;;2,447775;2,444512;0,003263;;;0,006756;0,003263;0,003493
269;2.447.775;2,447775;;2,454531;2,447775;0,006756;;;0,000287;0,006756;-0,006469
270;2.454.531;2,454531;;2,454818;2,454531;0,000287;;;0,007943;0,000287;0,007656
271;2.454.818;2,454818;;2,462761;2,454818;0,007943;;;0,005867;0,007943;-0,002076
272;2.462.761;2,462761;;2,468628;2,462761;0,005867;;;0,004413;0,005867;-0,001454
273;2.468.628;2,468628;;2,473041;2,468628;0,004413;;;0,000128;0,004413;-0,004285
274;2.473.041;2,473041;;2,473169;2,473041;0,000128;;;9,1E-05;0,000128;-3,7E-05
275;2.473.169;2,473169;;2,47326;2,473169;9,1E-05;;;0,03009;9,1E-05;0,029999
276;2.473.260;2,47326;;2,50335;2,47326;0,03009;;;0,000378;0,03009;-0,029712
277;2.503.350;2,50335;;2,503728;2,50335;0,000378;;;0,020159;0,000378;0,019781
278;2.503.728;2,503728;;2,523887;2,503728;0,020159;;;0,016964;0,020159;-0,003195
279;2.523.887;2,523887;;2,540851;2,523887;0,016964;;;0,003665;0,016964;-0,013299
280;2.540.851;2,540851;;2,544516;2,540851;0,003665;;;0,015207;0,003665;0,011542
281;2.544.516;2,544516;;2,559723;2,544516;0,015207;;;0,015092;0,015207;-0,000115
282;2.559.723;2,559723;;2,574815;2,559723;0,015092;;;0,001237;0,015092;-0,013855
283;2.574.815;2,574815;;2,576052;2,574815;0,001237;;;0,003537;0,001237;0,0023
284;2.576.052;2,576052;;2,579589;2,576052;0,003537;;;0,00038;0,003537;-0,003157
285;2.579.589;2,579589;;2,579969;2,579589;0,00038;;;0;0,00038;-0,00038
286;2.579.969;2,579969;;2,579969;2,579969;0;;;8E-06;0;8E-06
287;2.579.969;2,579969;;2,579977;2,579969;8E-06;;;-8E-06;8E-06;-1,6E-05
288;2.579.977;2,579977;;2,579969;2,579977;-8E-06;;;0,030576;-8E-06;0,030584
289;2.579.969;2,579969;;2,610545;2,579969;0,030576;;;0,000298;0,030576;-0,030278
290;2.610.545;2,610545;;2,610843;2,610545;0,000298;;;0,000126;0,000298;-0,000172
291;2.610.843;2,610843;;2,610969;2,610843;0,000126;;;0,002412;0,000126;0,002286
292;2.610.969;2,610969;;2,613381;2,610969;0,002412;;;0,000274;0,002412;-0,002138
293;2.613.381;2,613381;;2,613655;2,613381;0,000274;;;0;0,000274;-0,000274
294;2.613.655;2,613655;;2,613655;2,613655;0;;;0,018235;0;0,018235
295;2.613.655;2,613655;;2,63189;2,613655;0,018235;;;0,000301;0,018235;-0,017934
296;2.631.890;2,63189;;2,632191;2,63189;0,000301;;;0,000173;0,000301;-0,000128
297;2.632.191;2,632191;;2,632364;2,632191;0,000173;;;0,008117;0,000173;0,007944
298;2.632.364;2,632364;;2,640481;2,632364;0,008117;;;0;0,008117;-0,008117
299;2.640.481;2,640481;;2,640481;2,640481;0;;;0,021449;0;0,021449
300;2.640.481;2,640481;;2,66193;2,640481;0,021449;;;0,007033;0,021449;-0,014416
301;2.661.930;2,66193;;2,668963;2,66193;0,007033;;;0,019338;0,007033;0,012305
302;2.668.963;2,668963;;2,688301;2,668963;0,019338;;;0,000386;0,019338;-0,018952
303;2.688.301;2,688301;;2,688687;2,688301;0,000386;;;0,011163;0,000386;0,010777
304;2.688.687;2,688687;;2,69985;2,688687;0,011163;;;0,003295;0,011163;-0,007868
305;2.699.850;2,69985;;2,703145;2,69985;0,003295;;;0,000305;0,003295;-0,00299
306;2.703.145;2,703145;;2,70345;2,703145;0,000305;;;0,049521;0,000305;0,049216
307;2.703.450;2,70345;;2,752971;2,70345;0,049521;;;0,00032;0,049521;-0,049201
308;2.752.971;2,752971;;2,753291;2,752971;0,00032;;;0,000163;0,00032;-0,000157
309;2.753.291;2,753291;;2,753454;2,753291;0,000163;;;0,006427;0,000163;0,006264
310;2.753.454;2,753454;;2,759881;2,753454;0,006427;;;0,000354;0,006427;-0,006073
